currency_pair,date,rate
EUR/GBP,2025-10-31,0.865519
EUR/INR,2025-10-31,95.604544
GBP/INR,2025-10-31,112.597591
USD/EUR,2025-11-01,0.804096
USD/GBP,2025-11-01,0.739387
USD/INR,2025-11-01,84.107268
EUR/GBP,2025-11-01,0.840387
EUR/INR,2025-11-01,99.915593
GBP/INR,2025-11-01,107.86844
USD/EUR,2025-11-02,0.837723
USD/GBP,2025-11-02,0.749403
USD/INR,2025-11-02,80.426942
EUR/GBP,2025-11-02,0.829385
EUR/INR,2025-11-02,97.325933
GBP/INR,2025-11-02,112.739737
USD/EUR,2025-11-03,0.859303
USD/GBP,2025-11-03,0.712427
USD/INR,2025-11-03,85.067206
EUR/GBP,2025-11-03,0.836818
EUR/INR,2025-11-03,92.591129
GBP/INR,2025-11-03,107.828657
USD/EUR,2025-11-04,0.830435
USD/GBP,2025-11-04,0.738618
USD/INR,2025-11-04,83.180264
EUR/GBP,2025-11-04,0.823071
EUR/INR,2025-11-04,97.789486
GBP/INR,2025-11-04,105.345804
USD/EUR,2025-11-05,0.848039
USD/GBP,2025-11-05,0.70711
USD/INR,2025-11-05,80.780584
EUR/GBP,2025-11-05,0.892982
EUR/INR,2025-11-05,92.72397
GBP/INR,2025-11-05,109.231187
USD/EUR,2025-11-06,0.84798
USD/GBP,2025-11-06,0.750811
USD/INR,2025-11-06,83.401242
EUR/GBP,2025-11-06,0.906185
EUR/INR,2025-11-06,91.128106
GBP/INR,2025-11-06,106.43925
USD/EUR,2025-11-07,0.84338
USD/GBP,2025-11-07,0.760741
USD/INR,2025-11-07,82.205499
EUR/GBP,2025-11-07,0.831795
EUR/INR,2025-11-07,94.243657
GBP/INR,2025-11-07,110.06078
USD/EUR,2025-11-08,0.834904
USD/GBP,2025-11-08,0.71247
USD/INR,2025-11-08,80.23885
EUR/GBP,2025-11-08,0.875023
EUR/INR,2025-11-08,95.919326
GBP/INR,2025-11-08,106.537665
USD/EUR,2025-11-09,0.840839
USD/GBP,2025-11-09,0.715258
USD/INR,2025-11-09,82.170783
EUR/GBP,2025-11-09,0.90608
EUR/INR,2025-11-09,96.287484
GBP/INR,2025-11-09,106.785908
USD/EUR,2025-11-10,0.872429
USD/GBP,2025-11-10,0.76936
USD/INR,2025-11-10,85.328301
EUR/GBP,2025-11-10,0.848341
EUR/INR,2025-11-10,98.622416
GBP/INR,2025-11-10,104.549451
USD/EUR,2025-11-11,0.874546
USD/GBP,2025-11-11,0.730318
USD/INR,2025-11-11,81.600993
EUR/GBP,2025-11-11,0.873822
EUR/INR,2025-11-11,96.709365
GBP/INR,2025-11-11,113.758202
USD/EUR,2025-11-12,0.807081
USD/GBP,2025-11-12,0.772578
USD/INR,2025-11-12,84.727688
EUR/GBP,2025-11-12,0.898702
EUR/INR,2025-11-12,94.611579
GBP/INR,2025-11-12,104.416989
USD/EUR,2025-11-13,0.840251
USD/GBP,2025-11-13,0.707953
USD/INR,2025-11-13,78.623763
EUR/GBP,2025-11-13,0.908415
EUR/INR,2025-11-13,96.311694
GBP/INR,2025-11-13,103.859717
USD/EUR,2025-11-14,0.868947
USD/GBP,2025-11-14,0.728876
USD/INR,2025-11-14,78.065349
EUR/GBP,2025-11-14,0.886205
EUR/INR,2025-11-14,93.048984
GBP/INR,2025-11-14,106.393522
USD/EUR,2025-11-15,0.854996
USD/GBP,2025-11-15,0.715737
USD/INR,2025-11-15,85.483259
EUR/GBP,2025-11-15,0.872782
EUR/INR,2025-11-15,99.850976
GBP/INR,2025-11-15,107.288764
USD/EUR,2025-11-16,0.835013
USD/GBP,2025-11-16,0.706215
USD/INR,2025-11-16,79.653101
EUR/GBP,2025-11-16,0.825751
EUR/INR,2025-11-16,92.687616
GBP/INR,2025-11-16,105.643917
USD/EUR,2025-11-17,0.806757
USD/GBP,2025-11-17,0.756788
USD/INR,2025-11-17,78.9938
EUR/GBP,2025-11-17,0.879505
EUR/INR,2025-11-17,91.965813
GBP/INR,2025-11-17,109.059816
USD/EUR,2025-11-18,0.866677
USD/GBP,2025-11-18,0.705562
USD/INR,2025-11-18,80.040055
EUR/GBP,2025-11-18,0.874347
EUR/INR,2025-11-18,100.69628
GBP/INR,2025-11-18,107.935738
USD/EUR,2025-11-19,0.850757
USD/GBP,2025-11-19,0.728577
USD/INR,2025-11-19,85.959617
EUR/GBP,2025-11-19,0.839009
EUR/INR,2025-11-19,99.586604
GBP/INR,2025-11-19,108.03545
USD/EUR,2025-11-20,0.814712
USD/GBP,2025-11-20,0.712071
USD/INR,2025-11-20,82.421315
EUR/GBP,2025-11-20,0.858547
EUR/INR,2025-11-20,99.954041
GBP/INR,2025-11-20,103.76197
USD/EUR,2025-11-21,0.877148
USD/GBP,2025-11-21,0.750756
USD/INR,2025-11-21,78.010281
EUR/GBP,2025-11-21,0.8372
EUR/INR,2025-11-21,93.96681
GBP/INR,2025-11-21,105.525659
USD/EUR,2025-11-22,0.829763
USD/GBP,2025-11-22,0.756267
USD/INR,2025-11-22,79.007501
EUR/GBP,2025-11-22,0.886585
EUR/INR,2025-11-22,97.001629
GBP/INR,2025-11-22,107.635499
USD/EUR,2025-11-23,0.837101
USD/GBP,2025-11-23,0.762551
USD/INR,2025-11-23,83.097254
EUR/GBP,2025-11-23,0.912246
EUR/INR,2025-11-23,98.213602
GBP/INR,2025-11-23,107.262858
USD/EUR,2025-11-24,0.872152
USD/GBP,2025-11-24,0.755188
USD/INR,2025-11-24,84.528574
EUR/GBP,2025-11-24,0.89237
EUR/INR,2025-11-24,94.462375
GBP/INR,2025-11-24,114.055739
USD/EUR,2025-11-25,0.878859
USD/GBP,2025-11-25,0.731464
USD/INR,2025-11-25,81.281197
EUR/GBP,2025-11-25,0.893868
EUR/INR,2025-11-25,96.329257
GBP/INR,2025-11-25,104.298412
USD/EUR,2025-11-26,0.830318
USD/GBP,2025-11-26,0.771398
USD/INR,2025-11-26,84.430672
EUR/GBP,2025-11-26,0.85801
EUR/INR,2025-11-26,94.504905
GBP/INR,2025-11-26,114.051689
USD/EUR,2025-11-27,0.816977
USD/GBP,2025-11-27,0.729127
USD/INR,2025-11-27,78.517138
EUR/GBP,2025-11-27,0.859905
EUR/INR,2025-11-27,95.739474
GBP/INR,2025-11-27,109.814291
USD/EUR,2025-11-28,0.84392
USD/GBP,2025-11-28,0.765874
USD/INR,2025-11-28,80.907624
EUR/GBP,2025-11-28,0.903089
EUR/INR,2025-11-28,93.544117
GBP/INR,2025-11-28,112.016875
USD/EUR,2025-11-29,0.82156
USD/GBP,2025-11-29,0.719758
USD/INR,2025-11-29,80.461187
EUR/GBP,2025-11-29,0.89181
EUR/INR,2025-11-29,93.861285
GBP/INR,2025-11-29,114.151935
USD/EUR,2025-11-30,0.828999
USD/GBP,2025-11-30,0.745861
USD/INR,2025-11-30,81.571969
EUR/GBP,2025-11-30,0.841434
EUR/INR,2025-11-30,95.702161
GBP/INR,2025-11-30,109.315937
USD/EUR,2025-12-01,0.836066
USD/GBP,2025-12-01,0.734546
USD/INR,2025-12-01,80.534372
EUR/GBP,2025-12-01,0.855033
EUR/INR,2025-12-01,93.199438
GBP/INR,2025-12-01,113.354875
USD/EUR,2025-12-02,0.868077
USD/GBP,2025-12-02,0.740796
USD/INR,2025-12-02,82.40691
EUR/GBP,2025-12-02,0.828394
EUR/INR,2025-12-02,96.642684
GBP/INR,2025-12-02,110.634345
USD/EUR,2025-12-03,0.820536
USD/GBP,2025-12-03,0.763342
USD/INR,2025-12-03,83.467618
EUR/GBP,2025-12-03,0.895508
EUR/INR,2025-12-03,97.659445
GBP/INR,2025-12-03,106.393194
USD/EUR,2025-12-04,0.870105
USD/GBP,2025-12-04,0.72483
USD/INR,2025-12-04,80.148995
EUR/GBP,2025-12-04,0.913571
EUR/INR,2025-12-04,95.955596
GBP/INR,2025-12-04,110.572344
USD/EUR,2025-12-05,0.828926
USD/GBP,2025-12-05,0.746153
USD/INR,2025-12-05,81.096993
EUR/GBP,2025-12-05,0.895341
EUR/INR,2025-12-05,99.463421
GBP/INR,2025-12-05,107.562222
USD/EUR,2025-12-06,0.805784
USD/GBP,2025-12-06,0.780522
USD/INR,2025-12-06,78.454491
EUR/GBP,2025-12-06,0.844285
EUR/INR,2025-12-06,94.454368
GBP/INR,2025-12-06,109.177835
USD/EUR,2025-12-07,0.862805
USD/GBP,2025-12-07,0.707388
USD/INR,2025-12-07,81.986788
EUR/GBP,2025-12-07,0.853761
EUR/INR,2025-12-07,100.75761
GBP/INR,2025-12-07,112.442455
USD/EUR,2025-12-08,0.865246
USD/GBP,2025-12-08,0.749212
USD/INR,2025-12-08,83.981817
EUR/GBP,2025-12-08,0.86857
EUR/INR,2025-12-08,100.759884
GBP/INR,2025-12-08,109.538281
USD/EUR,2025-12-09,0.813499
USD/GBP,2025-12-09,0.779601
USD/INR,2025-12-09,80.859906
EUR/GBP,2025-12-09,0.885279
EUR/INR,2025-12-09,100.863944
GBP/INR,2025-12-09,111.514112
USD/EUR,2025-12-10,0.883612
USD/GBP,2025-12-10,0.707817
USD/INR,2025-12-10,82.925738
EUR/GBP,2025-12-10,0.832584
EUR/INR,2025-12-10,96.052405
GBP/INR,2025-12-10,107.908928
USD/EUR,2025-12-11,0.885868
USD/GBP,2025-12-11,0.71588
USD/INR,2025-12-11,78.63472
EUR/GBP,2025-12-11,0.841951
EUR/INR,2025-12-11,98.75157
GBP/INR,2025-12-11,104.319772
USD/EUR,2025-12-12,0.886128
USD/GBP,2025-12-12,0.709648
USD/INR,2025-12-12,79.868921
EUR/GBP,2025-12-12,0.879795
EUR/INR,2025-12-12,95.04893
GBP/INR,2025-12-12,108.070877
USD/EUR,2025-12-13,0.877318
USD/GBP,2025-12-13,0.718536
USD/INR,2025-12-13,82.196814
EUR/GBP,2025-12-13,0.854064
EUR/INR,2025-12-13,98.686332
GBP/INR,2025-12-13,111.71882
USD/EUR,2025-12-14,0.822493
USD/GBP,2025-12-14,0.725077
USD/INR,2025-12-14,82.450735
EUR/GBP,2025-12-14,0.906286
EUR/INR,2025-12-14,99.442638
GBP/INR,2025-12-14,106.435742
USD/EUR,2025-12-15,0.870526
USD/GBP,2025-12-15,0.762695
USD/INR,2025-12-15,79.251316
EUR/GBP,2025-12-15,0.843902
EUR/INR,2025-12-15,98.490364
GBP/INR,2025-12-15,110.735353
USD/EUR,2025-12-16,0.826612
USD/GBP,2025-12-16,0.773699
USD/INR,2025-12-16,81.759477
EUR/GBP,2025-12-16,0.847897
EUR/INR,2025-12-16,96.621028
GBP/INR,2025-12-16,107.343303
USD/EUR,2025-12-17,0.850287
USD/GBP,2025-12-17,0.771835
USD/INR,2025-12-17,81.61507
EUR/GBP,2025-12-17,0.848052
EUR/INR,2025-12-17,98.663197
GBP/INR,2025-12-17,105.694706
USD/EUR,2025-12-18,0.808241
USD/GBP,2025-12-18,0.736477
USD/INR,2025-12-18,80.346387
EUR/GBP,2025-12-18,0.849149
EUR/INR,2025-12-18,99.153348
GBP/INR,2025-12-18,108.360481
USD/EUR,2025-12-19,0.828953
USD/GBP,2025-12-19,0.780876
USD/INR,2025-12-19,80.671929
EUR/GBP,2025-12-19,0.898878
EUR/INR,2025-12-19,101.729768
GBP/INR,2025-12-19,113.328162
USD/EUR,2025-12-20,0.874219
USD/GBP,2025-12-20,0.756577
USD/INR,2025-12-20,83.387083
EUR/GBP,2025-12-20,0.861273
EUR/INR,2025-12-20,93.037759
GBP/INR,2025-12-20,111.906594
USD/EUR,2025-12-21,0.882933
USD/GBP,2025-12-21,0.735772
USD/INR,2025-12-21,81.536783
EUR/GBP,2025-12-21,0.899418
EUR/INR,2025-12-21,94.444549
GBP/INR,2025-12-21,109.612191
USD/EUR,2025-12-22,0.807656
USD/GBP,2025-12-22,0.767489
USD/INR,2025-12-22,79.729592
EUR/GBP,2025-12-22,0.849779
EUR/INR,2025-12-22,100.554421
GBP/INR,2025-12-22,109.230702
USD/EUR,2025-12-23,0.822219
USD/GBP,2025-12-23,0.743622
USD/INR,2025-12-23,81.822483
EUR/GBP,2025-12-23,0.92126
EUR/INR,2025-12-23,93.735806
GBP/INR,2025-12-23,105.64405
USD/EUR,2025-12-24,0.832478
USD/GBP,2025-12-24,0.746373
USD/INR,2025-12-24,86.636788
EUR/GBP,2025-12-24,0.897122
EUR/INR,2025-12-24,99.818782
GBP/INR,2025-12-24,112.958932
USD/EUR,2025-12-25,0.870391
USD/GBP,2025-12-25,0.730291
USD/INR,2025-12-25,79.528152
EUR/GBP,2025-12-25,0.900426
EUR/INR,2025-12-25,92.713713
GBP/INR,2025-12-25,107.598471
USD/EUR,2025-12-26,0.816169
USD/GBP,2025-12-26,0.784327
USD/INR,2025-12-26,84.141609
EUR/GBP,2025-12-26,0.869022
EUR/INR,2025-12-26,92.603141
GBP/INR,2025-12-26,111.649581
USD/EUR,2025-12-27,0.811415
USD/GBP,2025-12-27,0.754287
USD/INR,2025-12-27,79.436382
EUR/GBP,2025-12-27,0.907988
EUR/INR,2025-12-27,94.839182
GBP/INR,2025-12-27,113.549136
USD/EUR,2025-12-28,0.82661
USD/GBP,2025-12-28,0.758102
USD/INR,2025-12-28,81.554742
EUR/GBP,2025-12-28,0.841621
EUR/INR,2025-12-28,99.783012
GBP/INR,2025-12-28,115.254215
USD/EUR,2025-12-29,0.833341
USD/GBP,2025-12-29,0.714444
USD/INR,2025-12-29,81.532252
EUR/GBP,2025-12-29,0.889555
EUR/INR,2025-12-29,98.311459
GBP/INR,2025-12-29,106.480013
USD/EUR,2025-12-30,0.876974
USD/GBP,2025-12-30,0.78081
USD/INR,2025-12-30,84.663203
EUR/GBP,2025-12-30,0.872552
EUR/INR,2025-12-30,94.811098
GBP/INR,2025-12-30,113.818113
USD/EUR,2025-12-31,0.88805
USD/GBP,2025-12-31,0.78392
USD/INR,2025-12-31,80.637098
EUR/GBP,2025-12-31,0.904785
EUR/INR,2025-12-31,100.6959
GBP/INR,2025-12-31,110.842724
USD/EUR,2026-01-01,0.855059
USD/GBP,2026-01-01,0.784565
USD/INR,2026-01-01,81.439212
EUR/GBP,2026-01-01,0.866584
EUR/INR,2026-01-01,101.783688
GBP/INR,2026-01-01,112.279797
USD/EUR,2026-01-02,0.863362
USD/GBP,2026-01-02,0.717282
USD/INR,2026-01-02,81.971561
EUR/GBP,2026-01-02,0.908425
EUR/INR,2026-01-02,96.59865
GBP/INR,2026-01-02,109.097313
USD/EUR,2026-01-03,0.881426
USD/GBP,2026-01-03,0.724103
USD/INR,2026-01-03,80.391255
EUR/GBP,2026-01-03,0.900496
EUR/INR,2026-01-03,93.765606
GBP/INR,2026-01-03,107.907925
USD/EUR,2026-01-04,0.848734
USD/GBP,2026-01-04,0.771093
USD/INR,2026-01-04,82.628521
EUR/GBP,2026-01-04,0.878264
EUR/INR,2026-01-04,98.672783
GBP/INR,2026-01-04,105.826776
USD/EUR,2026-01-05,0.870052
USD/GBP,2026-01-05,0.735723
USD/INR,2026-01-05,79.187461
EUR/GBP,2026-01-05,0.862581
EUR/INR,2026-01-05,95.311505
GBP/INR,2026-01-05,115.065559
USD/EUR,2026-01-06,0.85357
USD/GBP,2026-01-06,0.767122
USD/INR,2026-01-06,84.392906
EUR/GBP,2026-01-06,0.859657
EUR/INR,2026-01-06,101.442338
GBP/INR,2026-01-06,109.316209
USD/EUR,2026-01-07,0.887433
USD/GBP,2026-01-07,0.72057
USD/INR,2026-01-07,79.356847
EUR/GBP,2026-01-07,0.895627
EUR/INR,2026-01-07,94.379996
GBP/INR,2026-01-07,116.097059
USD/EUR,2026-01-08,0.850954
USD/GBP,2026-01-08,0.723383
USD/INR,2026-01-08,84.41402
EUR/GBP,2026-01-08,0.866594
EUR/INR,2026-01-08,96.868233
GBP/INR,2026-01-08,112.834633
USD/EUR,2026-01-09,0.819771
USD/GBP,2026-01-09,0.765341
USD/INR,2026-01-09,82.987231
EUR/GBP,2026-01-09,0.849747
EUR/INR,2026-01-09,101.744723
GBP/INR,2026-01-09,115.939096
USD/EUR,2026-01-10,0.879258
USD/GBP,2026-01-10,0.783402
USD/INR,2026-01-10,80.899328
EUR/GBP,2026-01-10,0.853144
EUR/INR,2026-01-10,94.033588
GBP/INR,2026-01-10,110.073144
USD/EUR,2026-01-11,0.86901
USD/GBP,2026-01-11,0.721459
USD/INR,2026-01-11,79.593182
EUR/GBP,2026-01-11,0.883615
EUR/INR,2026-01-11,95.210813
GBP/INR,2026-01-11,112.230925
USD/EUR,2026-01-12,0.824189
USD/GBP,2026-01-12,0.760133
USD/INR,2026-01-12,81.225172
EUR/GBP,2026-01-12,0.889548
EUR/INR,2026-01-12,93.744258
GBP/INR,2026-01-12,108.981231
USD/EUR,2026-01-13,0.829682
USD/GBP,2026-01-13,0.750354
USD/INR,2026-01-13,85.686148
EUR/GBP,2026-01-13,0.849779
EUR/INR,2026-01-13,93.299598
GBP/INR,2026-01-13,106.960483
USD/EUR,2026-01-14,0.85524
USD/GBP,2026-01-14,0.749904
USD/INR,2026-01-14,79.23455
EUR/GBP,2026-01-14,0.896886
EUR/INR,2026-01-14,96.459263
GBP/INR,2026-01-14,112.080638
USD/EUR,2026-01-15,0.864486
USD/GBP,2026-01-15,0.771093
USD/INR,2026-01-15,82.365739
EUR/GBP,2026-01-15,0.85765
EUR/INR,2026-01-15,95.590086
GBP/INR,2026-01-15,109.040694
USD/EUR,2026-01-16,0.812777
USD/GBP,2026-01-16,0.790893
USD/INR,2026-01-16,79.327934
EUR/GBP,2026-01-16,0.909217
EUR/INR,2026-01-16,96.827327
GBP/INR,2026-01-16,114.510903
USD/EUR,2026-01-17,0.833022
USD/GBP,2026-01-17,0.753902
USD/INR,2026-01-17,84.421506
EUR/GBP,2026-01-17,0.919335
EUR/INR,2026-01-17,100.462877
GBP/INR,2026-01-17,109.022361
USD/EUR,2026-01-18,0.842033
USD/GBP,2026-01-18,0.721017
USD/INR,2026-01-18,84.294846
EUR/GBP,2026-01-18,0.885632
EUR/INR,2026-01-18,97.629521
GBP/INR,2026-01-18,110.024347
USD/EUR,2026-01-19,0.833026
USD/GBP,2026-01-19,0.775887
USD/INR,2026-01-19,81.630424
EUR/GBP,2026-01-19,0.894917
EUR/INR,2026-01-19,100.273744
GBP/INR,2026-01-19,107.937267
USD/EUR,2026-01-20,0.847873
USD/GBP,2026-01-20,0.769392
USD/INR,2026-01-20,85.059527
EUR/GBP,2026-01-20,0.868009
EUR/INR,2026-01-20,93.925662
GBP/INR,2026-01-20,113.59303
USD/EUR,2026-01-21,0.825726
USD/GBP,2026-01-21,0.777119
USD/INR,2026-01-21,83.93569
EUR/GBP,2026-01-21,0.850444
EUR/INR,2026-01-21,94.021684
GBP/INR,2026-01-21,108.428218
USD/EUR,2026-01-22,0.860521
USD/GBP,2026-01-22,0.727754
USD/INR,2026-01-22,80.875586
EUR/GBP,2026-01-22,0.846479
EUR/INR,2026-01-22,100.679852
GBP/INR,2026-01-22,106.86584
USD/EUR,2026-01-23,0.834677
USD/GBP,2026-01-23,0.74636
USD/INR,2026-01-23,80.299194
EUR/GBP,2026-01-23,0.869983
EUR/INR,2026-01-23,94.802387
GBP/INR,2026-01-23,106.881967
USD/EUR,2026-01-24,0.85986
USD/GBP,2026-01-24,0.759568
USD/INR,2026-01-24,82.509045
EUR/GBP,2026-01-24,0.863652
EUR/INR,2026-01-24,93.678606
GBP/INR,2026-01-24,111.946155
USD/EUR,2026-01-25,0.831121
USD/GBP,2026-01-25,0.773743
USD/INR,2026-01-25,86.885277
EUR/GBP,2026-01-25,0.902615
EUR/INR,2026-01-25,98.539372
GBP/INR,2026-01-25,113.914116
USD/EUR,2026-01-26,0.869118
USD/GBP,2026-01-26,0.735481
USD/INR,2026-01-26,86.57401
EUR/GBP,2026-01-26,0.864322
EUR/INR,2026-01-26,98.986494
GBP/INR,2026-01-26,113.324047
USD/EUR,2026-01-27,0.82211
USD/GBP,2026-01-27,0.789899
USD/INR,2026-01-27,83.567228
EUR/GBP,2026-01-27,0.865295
EUR/INR,2026-01-27,97.197254
GBP/INR,2026-01-27,106.056874
USD/EUR,2026-01-28,0.879249
USD/GBP,2026-01-28,0.763956
USD/INR,2026-01-28,82.146514
EUR/GBP,2026-01-28,0.886923
EUR/INR,2026-01-28,98.228201
GBP/INR,2026-01-28,106.463165
USD/EUR,2026-01-29,0.817217
USD/GBP,2026-01-29,0.72912
USD/INR,2026-01-29,81.758312
EUR/GBP,2026-01-29,0.907729
EUR/INR,2026-01-29,101.195018
GBP/INR,2026-01-29,116.762446
USD/EUR,2026-01-30,0.893874
USD/GBP,2026-01-30,0.754131
USD/INR,2026-01-30,83.263956
EUR/GBP,2026-01-30,0.868161
EUR/INR,2026-01-30,97.135424
GBP/INR,2026-01-30,114.875118
USD/EUR,2026-01-31,0.883931
USD/GBP,2026-01-31,0.770608
USD/INR,2026-01-31,86.677914
EUR/GBP,2026-01-31,0.873008
EUR/INR,2026-01-31,95.343155
GBP/INR,2026-01-31,111.164023
USD/EUR,2026-02-01,0.861396
USD/GBP,2026-02-01,0.726092
USD/INR,2026-02-01,80.599067
EUR/GBP,2026-02-01,0.914206
EUR/INR,2026-02-01,101.017911
GBP/INR,2026-02-01,113.02137
USD/EUR,2026-02-02,0.884796
USD/GBP,2026-02-02,0.743207
USD/INR,2026-02-02,81.87581
EUR/GBP,2026-02-02,0.877316
EUR/INR,2026-02-02,99.588881
GBP/INR,2026-02-02,107.687935
USD/EUR,2026-02-03,0.850405
USD/GBP,2026-02-03,0.746035
USD/INR,2026-02-03,86.625067
EUR/GBP,2026-02-03,0.898624
EUR/INR,2026-02-03,98.119057
GBP/INR,2026-02-03,111.704306
USD/EUR,2026-02-04,0.836968
USD/GBP,2026-02-04,0.754416
USD/INR,2026-02-04,85.488217
EUR/GBP,2026-02-04,0.855828
EUR/INR,2026-02-04,101.12195
GBP/INR,2026-02-04,111.763875
USD/EUR,2026-02-05,0.852588
USD/GBP,2026-02-05,0.731502
USD/INR,2026-02-05,83.339914
EUR/GBP,2026-02-05,0.897758
EUR/INR,2026-02-05,97.654047
GBP/INR,2026-02-05,107.697566
USD/EUR,2026-02-06,0.851658
USD/GBP,2026-02-06,0.783903
USD/INR,2026-02-06,87.545505
EUR/GBP,2026-02-06,0.88518
EUR/INR,2026-02-06,95.884998
GBP/INR,2026-02-06,106.506065
USD/EUR,2026-02-07,0.848597
USD/GBP,2026-02-07,0.736921
USD/INR,2026-02-07,80.63661
EUR/GBP,2026-02-07,0.89467
EUR/INR,2026-02-07,102.161012
GBP/INR,2026-02-07,111.596745
USD/EUR,2026-02-08,0.842201
USD/GBP,2026-02-08,0.796747
USD/INR,2026-02-08,81.224844
EUR/GBP,2026-02-08,0.858855
EUR/INR,2026-02-08,100.56278
GBP/INR,2026-02-08,116.658815
USD/EUR,2026-02-09,0.883306
USD/GBP,2026-02-09,0.743482
USD/INR,2026-02-09,83.052722
EUR/GBP,2026-02-09,0.85276
EUR/INR,2026-02-09,96.735868
GBP/INR,2026-02-09,110.68435
USD/EUR,2026-02-10,0.850803
USD/GBP,2026-02-10,0.759292
USD/INR,2026-02-10,81.594726
EUR/GBP,2026-02-10,0.866315
EUR/INR,2026-02-10,96.758488
GBP/INR,2026-02-10,113.948013
USD/EUR,2026-02-11,0.824354
USD/GBP,2026-02-11,0.756663
USD/INR,2026-02-11,86.445794
EUR/GBP,2026-02-11,0.908069
EUR/INR,2026-02-11,95.570771
GBP/INR,2026-02-11,113.876121
USD/EUR,2026-02-12,0.850662
USD/GBP,2026-02-12,0.744574
USD/INR,2026-02-12,81.821129
EUR/GBP,2026-02-12,0.900875
EUR/INR,2026-02-12,103.660566
GBP/INR,2026-02-12,114.646062
USD/EUR,2026-02-13,0.836451
USD/GBP,2026-02-13,0.792473
USD/INR,2026-02-13,82.13739
EUR/GBP,2026-02-13,0.849915
EUR/INR,2026-02-13,96.371249
GBP/INR,2026-02-13,109.925813
USD/EUR,2026-02-14,0.865222
USD/GBP,2026-02-14,0.765464
USD/INR,2026-02-14,84.945106
EUR/GBP,2026-02-14,0.928217
EUR/INR,2026-02-14,103.085164
GBP/INR,2026-02-14,108.868751
USD/EUR,2026-02-15,0.866513
USD/GBP,2026-02-15,0.781929
USD/INR,2026-02-15,81.919621
EUR/GBP,2026-02-15,0.850425
EUR/INR,2026-02-15,99.295976
GBP/INR,2026-02-15,111.920581
USD/EUR,2026-02-16,0.871214
USD/GBP,2026-02-16,0.77156
USD/INR,2026-02-16,83.37241
EUR/GBP,2026-02-16,0.868366
EUR/INR,2026-02-16,102.303156
GBP/INR,2026-02-16,115.075576
USD/EUR,2026-02-17,0.869113
USD/GBP,2026-02-17,0.736764
USD/INR,2026-02-17,88.028318
EUR/GBP,2026-02-17,0.917898
EUR/INR,2026-02-17,100.981473
GBP/INR,2026-02-17,117.148933
USD/EUR,2026-02-18,0.829365
USD/GBP,2026-02-18,0.772154
USD/INR,2026-02-18,84.093011
EUR/GBP,2026-02-18,0.853638
EUR/INR,2026-02-18,97.272657
GBP/INR,2026-02-18,109.044839
USD/EUR,2026-02-19,0.825305
USD/GBP,2026-02-19,0.792427
USD/INR,2026-02-19,80.466128
EUR/GBP,2026-02-19,0.915039
EUR/INR,2026-02-19,100.815654
GBP/INR,2026-02-19,113.062151
USD/EUR,2026-02-20,0.827
USD/GBP,2026-02-20,0.75786
USD/INR,2026-02-20,81.144496
EUR/GBP,2026-02-20,0.862882
EUR/INR,2026-02-20,98.800519
GBP/INR,2026-02-20,112.409031
USD/EUR,2026-02-21,0.821865
USD/GBP,2026-02-21,0.764483
USD/INR,2026-02-21,83.843047
EUR/GBP,2026-02-21,0.901186
EUR/INR,2026-02-21,103.862756
GBP/INR,2026-02-21,111.10758
USD/EUR,2026-02-22,0.824887
USD/GBP,2026-02-22,0.786806
USD/INR,2026-02-22,82.918988
EUR/GBP,2026-02-22,0.88929
EUR/INR,2026-02-22,100.159759
GBP/INR,2026-02-22,115.50384
USD/EUR,2026-02-23,0.883243
USD/GBP,2026-02-23,0.773921
USD/INR,2026-02-23,87.135343
EUR/GBP,2026-02-23,0.892053
EUR/INR,2026-02-23,96.931415
GBP/INR,2026-02-23,113.55427
USD/EUR,2026-02-24,0.874532
USD/GBP,2026-02-24,0.7284
USD/INR,2026-02-24,81.489726
EUR/GBP,2026-02-24,0.927215
EUR/INR,2026-02-24,95.183164
GBP/INR,2026-02-24,108.073947
USD/EUR,2026-02-25,0.844885
USD/GBP,2026-02-25,0.789283
USD/INR,2026-02-25,86.814647
EUR/GBP,2026-02-25,0.938094
EUR/INR,2026-02-25,97.674279
GBP/INR,2026-02-25,114.985981
USD/EUR,2026-02-26,0.8687
USD/GBP,2026-02-26,0.765101
USD/INR,2026-02-26,81.021476
EUR/GBP,2026-02-26,0.934036
EUR/INR,2026-02-26,103.75865
GBP/INR,2026-02-26,111.580507
USD/EUR,2026-02-27,0.863644
USD/GBP,2026-02-27,0.772664
USD/INR,2026-02-27,85.954306
EUR/GBP,2026-02-27,0.935738
EUR/INR,2026-02-27,101.187083
GBP/INR,2026-02-27,111.305899
USD/EUR,2026-02-28,0.842253
USD/GBP,2026-02-28,0.800362
USD/INR,2026-02-28,81.879357
EUR/GBP,2026-02-28,0.858632
EUR/INR,2026-02-28,100.112797
GBP/INR,2026-02-28,117.784267
USD/EUR,2026-03-01,0.853059
USD/GBP,2026-03-01,0.751621
USD/INR,2026-03-01,87.110079
EUR/GBP,2026-03-01,0.917031
EUR/INR,2026-03-01,101.686627
GBP/INR,2026-03-01,107.939671
USD/EUR,2026-03-02,0.873107
USD/GBP,2026-03-02,0.771314
USD/INR,2026-03-02,82.058083
EUR/GBP,2026-03-02,0.932318
EUR/INR,2026-03-02,99.26213
GBP/INR,2026-03-02,107.793139
USD/EUR,2026-03-03,0.894226
